customer_id,contract_type,tenure_months,monthly_charges,support_tickets,data_usage_gb,churned
C101,Month-to-month,2,75.5,4,45,Yes
C102,Two-year,48,45.0,0,120,No
C103,Month-to-month,5,89.2,5,65,Yes
C104,One-year,24,60.0,1,95,No
C105,Month-to-month,1,95.0,6,30,Yes
C106,Two-year,36,52.4,1,140,No
C107,Month-to-month,8,70.1,3,50,Yes
C108,One-year,18,65.5,2,85,No
C109,Month-to-month,3,82.0,4,40,Yes
C110,Two-year,60,55.0,0,200,No
C111,Month-to-month,12,78.4,2,60,No
C112,Month-to-month,4,91.0,5,35,Yes
C113,One-year,15,58.2,1,75,No
C114,Month-to-month,6,84.5,3,55,Yes
C115,Two-year,42,49.0,0,160,No
C116,Month-to-month,9,73.0,2,62,No
C117,Month-to-month,2,88.0,4,25,Yes
C118,One-year,20,62.0,1,90,No
C119,Two-year,50,46.5,0,180,No
C120,Month-to-month,7,79.5,3,48,Yes
