player_name,club,league,position,age,appearances,goals,assists,shots_per_game,pass_accuracy_pct,dribbles_per_game,tackles_per_game,market_value_m,rating
Erling Haaland,Manchester City,Premier League,Forward,23,35,36,8,5.2,72.1,2.1,0.8,180.0,8.9
Mohamed Salah,Liverpool,Premier League,Forward,31,34,28,12,4.8,78.3,3.4,0.9,80.0,8.7
Kylian Mbappe,Paris SG,Ligue 1,Forward,25,34,40,9,6.1,76.5,4.2,0.7,180.0,9.1
Vinicius Jr,Real Madrid,La Liga,Forward,23,35,23,11,4.3,74.2,5.1,0.6,150.0,8.8
Bukayo Saka,Arsenal,Premier League,Midfielder,22,36,20,16,3.6,82.4,3.8,1.2,140.0,8.6
Pedri,Barcelona,La Liga,Midfielder,21,30,7,10,1.4,91.2,4.3,2.1,120.0,8.4
Jude Bellingham,Real Madrid,La Liga,Midfielder,20,33,19,10,2.8,84.1,3.2,2.3,180.0,9.0
Kevin De Bruyne,Manchester City,Premier League,Midfielder,32,28,8,18,2.1,89.6,2.4,1.8,90.0,8.8
Virgil van Dijk,Liverpool,Premier League,Defender,32,34,4,2,0.7,86.3,0.4,3.6,50.0,8.2
Ruben Dias,Manchester City,Premier League,Defender,26,33,3,1,0.5,87.1,0.3,4.2,80.0,8.3
Trent Alexander-Arnold,Liverpool,Premier League,Defender,25,32,4,14,1.2,88.7,2.1,2.8,80.0,8.5
Lautaro Martinez,Inter Milan,Serie A,Forward,26,36,30,9,4.4,75.2,2.9,0.6,110.0,8.7
Harry Kane,Bayern Munich,Bundesliga,Forward,30,35,36,14,5.0,79.1,1.8,0.5,100.0,8.8
Robert Lewandowski,Barcelona,La Liga,Forward,35,34,26,7,4.6,77.8,1.2,0.4,25.0,8.3
Rodri,Manchester City,Premier League,Midfielder,27,35,8,6,1.1,92.4,1.3,5.1,120.0,8.9
Toni Kroos,Real Madrid,La Liga,Midfielder,34,32,5,11,1.0,93.2,0.9,2.9,20.0,8.5
Antoine Griezmann,Atletico Madrid,La Liga,Forward,33,35,20,14,3.2,80.1,2.6,1.4,40.0,8.2
Phil Foden,Manchester City,Premier League,Midfielder,24,34,17,13,3.1,83.6,3.5,1.1,150.0,8.7
Marcus Rashford,Manchester Utd,Premier League,Forward,26,35,17,5,3.4,73.2,3.3,0.8,70.0,7.8
Bruno Fernandes,Manchester Utd,Premier League,Midfielder,29,36,11,14,2.3,81.4,2.2,1.6,70.0,8.0
Bernardo Silva,Manchester City,Premier League,Midfielder,29,35,9,10,1.9,87.3,3.4,1.9,100.0,8.4
Federico Chiesa,Juventus,Serie A,Midfielder,26,28,9,7,2.2,76.4,3.8,1.3,50.0,7.9
Nicolo Barella,Inter Milan,Serie A,Midfielder,27,35,7,11,1.6,85.7,2.7,3.4,80.0,8.4
Rafael Leao,AC Milan,Serie A,Forward,24,34,16,12,3.7,74.8,4.9,0.7,75.0,8.3
Khvicha Kvaratskhelia,Napoli,Serie A,Forward,23,33,14,14,3.2,78.4,5.2,0.9,80.0,8.4
Florian Wirtz,Bayer Leverkusen,Bundesliga,Midfielder,20,34,18,20,2.6,87.4,4.0,1.6,130.0,8.8
Jamal Musiala,Bayern Munich,Bundesliga,Midfielder,21,33,16,10,2.8,84.9,5.1,1.3,120.0,8.6
Granit Xhaka,Bayer Leverkusen,Bundesliga,Midfielder,31,34,6,13,1.3,88.1,1.8,4.2,20.0,8.1
Jonathan Tah,Bayer Leverkusen,Bundesliga,Defender,28,34,2,2,0.4,86.5,0.5,4.8,40.0,8.0
Declan Rice,Arsenal,Premier League,Midfielder,25,36,8,8,1.4,87.2,1.6,5.0,110.0,8.5
Martin Odegaard,Arsenal,Premier League,Midfielder,25,31,15,12,2.4,88.9,2.9,2.1,100.0,8.6
Gabriel Magalhaes,Arsenal,Premier League,Defender,26,35,3,1,0.6,85.4,0.6,4.5,60.0,8.2
Marc-Andre ter Stegen,Barcelona,La Liga,Goalkeeper,32,34,0,0,0.1,76.4,0.0,0.2,30.0,8.1
Alisson Becker,Liverpool,Premier League,Goalkeeper,31,33,0,1,0.1,73.2,0.0,0.1,40.0,8.3
Ederson Moraes,Manchester City,Premier League,Goalkeeper,30,35,0,0,0.1,85.1,0.0,0.1,50.0,8.2
Gianluigi Donnarumma,Paris SG,Ligue 1,Goalkeeper,25,34,0,0,0.1,70.1,0.0,0.1,45.0,8.0
Achraf Hakimi,Paris SG,Ligue 1,Defender,25,32,5,10,1.3,81.2,3.4,2.2,70.0,8.3
Theo Hernandez,AC Milan,Serie A,Defender,26,33,6,9,1.5,79.3,3.2,2.4,55.0,8.1
Joshua Kimmich,Bayern Munich,Bundesliga,Midfielder,29,33,4,14,1.1,90.1,1.4,3.8,60.0,8.4
Leroy Sane,Bayern Munich,Bundesliga,Forward,28,30,12,9,2.9,78.6,4.1,0.8,55.0,8.0
