season,club,appearances,goals,assists,goal_contributions,goals_per_game
2002/03,Sporting CP,31,5,6,11,0.16
2003/04,Manchester United,40,6,7,13,0.15
2004/05,Manchester United,50,9,8,17,0.18
2005/06,Manchester United,47,12,8,20,0.26
2006/07,Manchester United,53,23,22,45,0.43
2007/08,Manchester United,49,42,8,50,0.86
2008/09,Manchester United,53,26,12,38,0.49
2009/10,Real Madrid,35,33,12,45,0.94
2010/11,Real Madrid,54,53,16,69,0.98
2011/12,Real Madrid,55,60,15,75,1.09
2012/13,Real Madrid,55,55,13,68,1.00
2013/14,Real Madrid,47,51,14,65,1.09
2014/15,Real Madrid,54,61,22,83,1.13
2015/16,Real Madrid,48,51,15,66,1.06
2016/17,Real Madrid,46,42,12,54,0.91
2017/18,Real Madrid,44,44,8,52,1.00
2018/19,Juventus,43,28,10,38,0.65
2019/20,Juventus,46,37,7,44,0.80
2020/21,Juventus,44,36,4,40,0.82
2021/22,Manchester United,39,24,3,27,0.62
2022/23,Manchester United / Al Nassr,35,17,4,21,0.49
2023/24,Al Nassr,45,44,13,57,0.98
2024/25,Al Nassr,41,35,4,39,0.85
