region,marketing_spend,social_ads_budget,store_footfall,satisfaction_score,sales
North,12000,4500,1200,4.6,68000
South,8500,3200,950,4.2,48000
East,15400,6100,1500,4.8,84500
West,11200,4100,1100,4.4,62300
Central,9800,3800,1020,4.3,54200
North,14200,5300,1380,4.7,77600
South,7800,2900,880,4.1,44100
East,16800,6700,1620,4.9,92100
West,10500,3900,1050,4.5,59400
Central,13100,5000,1290,4.6,72900
North,9200,3500,980,4.3,52000
South,11000,4200,1110,4.4,61500
East,18200,7200,1750,4.9,99800
West,13500,5100,1320,4.6,74200
Central,8900,3300,920,4.2,50100
North,15900,6200,1540,4.8,87300
South,9600,3700,1010,4.3,53800
East,14800,5700,1430,4.7,81200
West,12300,4700,1210,4.5,67800
Central,11700,4400,1160,4.4,64900
North,13800,5200,1350,4.6,75900
South,10200,3900,1040,4.3,56700
East,17500,6900,1680,4.9,95400
West,8900,3400,930,4.2,49800
Central,14500,5600,1410,4.7,79800
North,11500,4300,1130,4.5,63400
South,8200,3100,900,4.1,46300
East,19100,7600,1820,5.0,104500
West,14100,5400,1370,4.7,77200
Central,10800,4100,1080,4.4,59900
